step=68 pts=500000 plates=22 total=258.1ms | move=3.0 boundary=7.1 subduction=117.7 collision=92.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.7 resample=0.0
step=70 pts=500000 plates=22 total=261.3ms | move=3.0 boundary=7.0 subduction=116.8 collision=97.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.3 resample=0.0
step=72 pts=500000 plates=22 total=259.3ms | move=3.0 boundary=7.4 subduction=113.1 collision=98.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.4 resample=0.0
step=74 pts=500000 plates=22 total=247.8ms | move=3.0 boundary=7.4 subduction=109.9 collision=89.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.9 resample=0.0
step=76 pts=500000 plates=22 total=262.6ms | move=3.0 boundary=7.0 subduction=109.4 collision=105.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.4 resample=0.0
step=78 pts=500000 plates=22 total=252.3ms | move=3.0 boundary=7.1 subduction=108.0 collision=95.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.4 resample=0.0
  RESAMPLE: total=111636ms | old_delaunay=43895 new_delaunay=45540 adjacency=67 flood=163 interp=21950
step=80 pts=500000 plates=22 total=111891.1ms | move=2.9 boundary=7.9 subduction=105.4 collision=96.4 rift=1.2 rift_bnd=0.0 oceanic=0.0 erosion=38.1 resample=111639.2
step=82 pts=500000 plates=22 total=324.1ms | move=5.4 boundary=7.6 subduction=172.7 collision=99.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.1 resample=0.0
step=84 pts=500000 plates=22 total=331.3ms | move=5.5 boundary=7.3 subduction=176.0 collision=102.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=40.5 resample=0.0
step=86 pts=500000 plates=22 total=324.0ms | move=5.7 boundary=7.2 subduction=178.6 collision=92.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.7 resample=0.0
step=88 pts=500000 plates=22 total=338.2ms | move=5.3 boundary=6.7 subduction=178.5 collision=107.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.8 resample=0.0
step=90 pts=500000 plates=22 total=336.7ms | move=6.3 boundary=9.3 subduction=181.0 collision=99.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=40.3 resample=0.0
step=92 pts=500000 plates=22 total=342.0ms | move=5.7 boundary=7.6 subduction=183.4 collision=106.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.0 resample=0.0
step=94 pts=500000 plates=22 total=333.2ms | move=5.4 boundary=7.1 subduction=179.0 collision=102.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.0 resample=0.0
step=96 pts=500006 plates=22 total=45332.4ms | move=5.4 boundary=6.9 subduction=178.0 collision=99.8 rift=0.0 rift_bnd=0.0 oceanic=45004.9 erosion=37.4 resample=0.0
step=98 pts=500006 plates=22 total=736.1ms | move=4.1 boundary=54.5 subduction=523.2 collision=111.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=43.0 resample=0.0
step=100 pts=500006 plates=22 total=732.4ms | move=3.7 boundary=52.6 subduction=526.2 collision=110.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.2 resample=0.0
step=102 pts=500006 plates=22 total=705.3ms | move=3.2 boundary=58.8 subduction=497.2 collision=109.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=36.4 resample=0.0
step=104 pts=500006 plates=22 total=689.7ms | move=4.1 boundary=57.7 subduction=480.9 collision=110.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=35.9 resample=0.0
step=106 pts=500006 plates=22 total=707.6ms | move=2.9 boundary=54.9 subduction=493.0 collision=119.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.7 resample=0.0
step=108 pts=500006 plates=22 total=686.2ms | move=3.4 boundary=50.7 subduction=483.8 collision=111.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=36.3 resample=0.0
step=110 pts=500006 plates=22 total=697.0ms | move=3.4 boundary=56.4 subduction=487.3 collision=110.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=39.7 resample=0.0
step=112 pts=500006 plates=22 total=672.0ms | move=3.6 boundary=56.1 subduction=459.6 collision=115.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.6 resample=0.0
step=114 pts=500006 plates=22 total=648.6ms | move=3.7 boundary=57.4 subduction=435.0 collision=115.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.2 resample=0.0
step=116 pts=500006 plates=22 total=641.3ms | move=3.3 boundary=53.8 subduction=430.7 collision=116.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=36.7 resample=0.0
step=118 pts=500006 plates=22 total=627.0ms | move=3.6 boundary=53.6 subduction=419.8 collision=114.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=35.4 resample=0.0
  RESAMPLE: total=121363ms | old_delaunay=49580 new_delaunay=58387 adjacency=57 flood=167 interp=13150
step=120 pts=500000 plates=23 total=167649.8ms | move=3.0 boundary=50.3 subduction=400.1 collision=108.7 rift=45569.7 rift_bnd=115.5 oceanic=0.0 erosion=37.0 resample=121365.4
step=122 pts=500000 plates=23 total=362.7ms | move=3.4 boundary=7.2 subduction=180.6 collision=133.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.4 resample=0.0
step=124 pts=500000 plates=23 total=410.8ms | move=3.3 boundary=7.3 subduction=193.1 collision=169.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=37.6 resample=0.0
step=126 pts=500000 plates=23 total=375.6ms | move=3.6 boundary=6.9 subduction=199.9 collision=127.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=38.3 resample=0.0
step=2 pts=50000 plates=20 total=37.2ms | move=0.5 boundary=1.9 subduction=21.2 collision=8.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.9 resample=0.0
step=4 pts=50000 plates=20 total=37.3ms | move=0.3 boundary=1.6 subduction=21.7 collision=8.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=5.1 resample=0.0
step=6 pts=50000 plates=20 total=37.7ms | move=0.4 boundary=1.7 subduction=22.3 collision=8.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.9 resample=0.0
step=8 pts=50000 plates=20 total=35.4ms | move=0.3 boundary=1.2 subduction=21.5 collision=7.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.7 resample=0.0
