  after assign_samples step=1: assigned=230703/240000 gap=9297 plates=20
    plate[0]: 8034 samples, 8902 mesh verts, 17061 tris
    plate[1]: 9316 samples, 9925 mesh verts, 19227 tris
    plate[2]: 9996 samples, 10693 mesh verts, 20729 tris
    plate[3]: 9425 samples, 10148 mesh verts, 19663 tris
    plate[4]: 6951 samples, 7654 mesh verts, 14698 tris
    plate[5]: 16894 samples, 19051 mesh verts, 36609 tris
    plate[6]: 9255 samples, 9935 mesh verts, 19106 tris
    plate[7]: 9163 samples, 9752 mesh verts, 18891 tris
    plate[8]: 10742 samples, 11541 mesh verts, 22264 tris
    plate[9]: 12229 samples, 13383 mesh verts, 25987 tris
    plate[10]: 13608 samples, 14398 mesh verts, 27941 tris
    plate[11]: 13672 samples, 14616 mesh verts, 28163 tris
    plate[12]: 18215 samples, 19267 mesh verts, 37491 tris
    plate[13]: 8309 samples, 8956 mesh verts, 17326 tris
    plate[14]: 16880 samples, 18412 mesh verts, 35582 tris
    plate[15]: 13263 samples, 14052 mesh verts, 27290 tris
    plate[16]: 9281 samples, 9981 mesh verts, 19304 tris
    plate[17]: 6420 samples, 6983 mesh verts, 13401 tris
    plate[18]: 13707 samples, 14303 mesh verts, 27692 tris
    plate[19]: 15343 samples, 16254 mesh verts, 31571 tris
  crust: cont=78318 (31.6%) ocean=169888 below_sea=0 elev=[2.000,2.000] avg=2.000 andean=0 himalayan=0
  after assign_samples step=2: assigned=223877/240000 gap=16123 plates=20
    plate[0]: 7761 samples, 8902 mesh verts, 17061 tris
    plate[1]: 9144 samples, 9925 mesh verts, 19227 tris
    plate[2]: 9834 samples, 10693 mesh verts, 20729 tris
    plate[3]: 9237 samples, 10148 mesh verts, 19663 tris
    plate[4]: 6801 samples, 7654 mesh verts, 14698 tris
    plate[5]: 16025 samples, 19051 mesh verts, 36609 tris
    plate[6]: 9191 samples, 9935 mesh verts, 19106 tris
    plate[7]: 8969 samples, 9752 mesh verts, 18891 tris
    plate[8]: 10499 samples, 11541 mesh verts, 22264 tris
    plate[9]: 11666 samples, 13383 mesh verts, 25987 tris
    plate[10]: 13421 samples, 14398 mesh verts, 27941 tris
    plate[11]: 13465 samples, 14616 mesh verts, 28163 tris
    plate[12]: 17596 samples, 19267 mesh verts, 37491 tris
    plate[13]: 8037 samples, 8956 mesh verts, 17326 tris
    plate[14]: 15931 samples, 18412 mesh verts, 35582 tris
    plate[15]: 12945 samples, 14052 mesh verts, 27290 tris
    plate[16]: 8906 samples, 9981 mesh verts, 19304 tris
    plate[17]: 6139 samples, 6983 mesh verts, 13401 tris
    plate[18]: 13483 samples, 14303 mesh verts, 27692 tris
    plate[19]: 14827 samples, 16254 mesh verts, 31571 tris
  crust: cont=78318 (31.6%) ocean=169888 below_sea=0 elev=[2.000,2.003] avg=2.000 andean=0 himalayan=0
  after assign_samples step=3: assigned=217452/240000 gap=22548 plates=20
    plate[0]: 7478 samples, 8902 mesh verts, 17061 tris
    plate[1]: 9022 samples, 9925 mesh verts, 19227 tris
    plate[2]: 9645 samples, 10693 mesh verts, 20729 tris
    plate[3]: 9051 samples, 10148 mesh verts, 19663 tris
    plate[4]: 6655 samples, 7654 mesh verts, 14698 tris
    plate[5]: 15251 samples, 19051 mesh verts, 36609 tris
    plate[6]: 9099 samples, 9935 mesh verts, 19106 tris
    plate[7]: 8732 samples, 9752 mesh verts, 18891 tris
    plate[8]: 10298 samples, 11541 mesh verts, 22264 tris
    plate[9]: 11130 samples, 13383 mesh verts, 25987 tris
    plate[10]: 13197 samples, 14398 mesh verts, 27941 tris
    plate[11]: 13285 samples, 14616 mesh verts, 28163 tris
    plate[12]: 17066 samples, 19267 mesh verts, 37491 tris
    plate[13]: 7753 samples, 8956 mesh verts, 17326 tris
    plate[14]: 14961 samples, 18412 mesh verts, 35582 tris
    plate[15]: 12688 samples, 14052 mesh verts, 27290 tris
    plate[16]: 8602 samples, 9981 mesh verts, 19304 tris
    plate[17]: 5883 samples, 6983 mesh verts, 13401 tris
    plate[18]: 13308 samples, 14303 mesh verts, 27692 tris
    plate[19]: 14348 samples, 16254 mesh verts, 31571 tris
  crust: cont=78318 (31.6%) ocean=169888 below_sea=0 elev=[2.000,2.005] avg=2.000 andean=0 himalayan=0
  after assign_samples step=4: assigned=211402/240000 gap=28598 plates=20
    plate[0]: 7215 samples, 8973 mesh verts, 17132 tris
    plate[1]: 8884 samples, 9943 mesh verts, 19245 tris
    plate[2]: 9500 samples, 10726 mesh verts, 20762 tris
    plate[3]: 8906 samples, 10169 mesh verts, 19684 tris
    plate[4]: 6509 samples, 7669 mesh verts, 14713 tris
    plate[5]: 14544 samples, 19085 mesh verts, 36643 tris
    plate[6]: 8987 samples, 9970 mesh verts, 19141 tris
    plate[7]: 8538 samples, 9774 mesh verts, 18913 tris
    plate[8]: 10095 samples, 11546 mesh verts, 22269 tris
    plate[9]: 10618 samples, 13403 mesh verts, 26007 tris
    plate[10]: 13010 samples, 14427 mesh verts, 27970 tris
    plate[11]: 13099 samples, 14647 mesh verts, 28194 tris
    plate[12]: 16567 samples, 19273 mesh verts, 37497 tris
    plate[13]: 7456 samples, 9016 mesh verts, 17386 tris
    plate[14]: 14022 samples, 18446 mesh verts, 35616 tris
    plate[15]: 12447 samples, 14078 mesh verts, 27316 tris
    plate[16]: 8297 samples, 10031 mesh verts, 19354 tris
    plate[17]: 5640 samples, 7013 mesh verts, 13431 tris
    plate[18]: 13175 samples, 14323 mesh verts, 27712 tris
    plate[19]: 13893 samples, 16265 mesh verts, 31582 tris
  crust: cont=78318 (31.5%) ocean=170459 below_sea=0 elev=[2.000,2.007] avg=2.001 andean=0 himalayan=0
  after assign_samples step=5: assigned=205607/240000 gap=34393 plates=20
    plate[0]: 6954 samples, 8973 mesh verts, 17132 tris
    plate[1]: 8772 samples, 9943 mesh verts, 19245 tris
    plate[2]: 9347 samples, 10726 mesh verts, 20762 tris
    plate[3]: 8728 samples, 10169 mesh verts, 19684 tris
    plate[4]: 6375 samples, 7669 mesh verts, 14713 tris
    plate[5]: 13918 samples, 19085 mesh verts, 36643 tris
    plate[6]: 8880 samples, 9970 mesh verts, 19141 tris
    plate[7]: 8323 samples, 9774 mesh verts, 18913 tris
    plate[8]: 9895 samples, 11546 mesh verts, 22269 tris
    plate[9]: 10151 samples, 13403 mesh verts, 26007 tris
    plate[10]: 12817 samples, 14427 mesh verts, 27970 tris
    plate[11]: 12927 samples, 14647 mesh verts, 28194 tris
    plate[12]: 16029 samples, 19273 mesh verts, 37497 tris
    plate[13]: 7167 samples, 9016 mesh verts, 17386 tris
    plate[14]: 13096 samples, 18446 mesh verts, 35616 tris
    plate[15]: 12255 samples, 14078 mesh verts, 27316 tris
    plate[16]: 8007 samples, 10031 mesh verts, 19354 tris
    plate[17]: 5413 samples, 7013 mesh verts, 13431 tris
    plate[18]: 13074 samples, 14323 mesh verts, 27712 tris
