  after assign_samples step=1: assigned=49085/51000 gap=1915 plates=20
    plate[0]: 1878 samples, 2091 mesh verts, 3878 tris
    plate[1]: 1768 samples, 2021 mesh verts, 3759 tris
    plate[2]: 2011 samples, 2398 mesh verts, 4463 tris
    plate[3]: 1795 samples, 2112 mesh verts, 3883 tris
    plate[4]: 1488 samples, 1670 mesh verts, 3094 tris
    plate[5]: 3505 samples, 3930 mesh verts, 7449 tris
    plate[6]: 2057 samples, 2264 mesh verts, 4269 tris
    plate[7]: 1794 samples, 1998 mesh verts, 3723 tris
    plate[8]: 2363 samples, 2636 mesh verts, 4926 tris
    plate[9]: 2490 samples, 2811 mesh verts, 5287 tris
    plate[10]: 2765 samples, 3012 mesh verts, 5638 tris
    plate[11]: 2864 samples, 3069 mesh verts, 5805 tris
    plate[12]: 3763 samples, 4255 mesh verts, 7988 tris
    plate[13]: 2076 samples, 2247 mesh verts, 4212 tris
    plate[14]: 3178 samples, 3574 mesh verts, 6633 tris
    plate[15]: 3003 samples, 3233 mesh verts, 6103 tris
    plate[16]: 1763 samples, 1918 mesh verts, 3577 tris
    plate[17]: 1753 samples, 1929 mesh verts, 3572 tris
    plate[18]: 3575 samples, 3909 mesh verts, 7172 tris
    plate[19]: 3196 samples, 3493 mesh verts, 6565 tris
  crust: cont=18537 (34.0%) ocean=36033 below_sea=0 elev=[2.000,2.000] avg=2.000 andean=0 himalayan=0
  after assign_samples step=2: assigned=47760/51000 gap=3240 plates=20
    plate[0]: 1882 samples, 2091 mesh verts, 3878 tris
    plate[1]: 1723 samples, 2021 mesh verts, 3759 tris
    plate[2]: 1871 samples, 2398 mesh verts, 4463 tris
    plate[3]: 1745 samples, 2112 mesh verts, 3883 tris
    plate[4]: 1486 samples, 1670 mesh verts, 3094 tris
    plate[5]: 3410 samples, 3930 mesh verts, 7449 tris
    plate[6]: 2030 samples, 2264 mesh verts, 4269 tris
    plate[7]: 1804 samples, 1998 mesh verts, 3723 tris
    plate[8]: 2316 samples, 2636 mesh verts, 4926 tris
    plate[9]: 2375 samples, 2811 mesh verts, 5287 tris
    plate[10]: 2720 samples, 3012 mesh verts, 5638 tris
    plate[11]: 2857 samples, 3069 mesh verts, 5805 tris
    plate[12]: 3574 samples, 4255 mesh verts, 7988 tris
    plate[13]: 2039 samples, 2247 mesh verts, 4212 tris
    plate[14]: 3007 samples, 3574 mesh verts, 6633 tris
    plate[15]: 2940 samples, 3233 mesh verts, 6103 tris
    plate[16]: 1737 samples, 1918 mesh verts, 3577 tris
    plate[17]: 1677 samples, 1929 mesh verts, 3572 tris
    plate[18]: 3480 samples, 3909 mesh verts, 7172 tris
    plate[19]: 3087 samples, 3493 mesh verts, 6565 tris
  crust: cont=18537 (34.0%) ocean=36033 below_sea=0 elev=[2.000,2.001] avg=2.000 andean=0 himalayan=0
  after assign_samples step=3: assigned=46497/51000 gap=4503 plates=20
    plate[0]: 1840 samples, 2091 mesh verts, 3878 tris
    plate[1]: 1697 samples, 2021 mesh verts, 3759 tris
    plate[2]: 1754 samples, 2398 mesh verts, 4463 tris
    plate[3]: 1717 samples, 2112 mesh verts, 3883 tris
    plate[4]: 1496 samples, 1670 mesh verts, 3094 tris
    plate[5]: 3305 samples, 3930 mesh verts, 7449 tris
