    plate[10]: 31184 samples, 33992 mesh verts, 66715 tris
    plate[11]: 28610 samples, 33429 mesh verts, 60422 tris
    plate[12]: 31699 samples, 39997 mesh verts, 78329 tris
    plate[13]: 16443 samples, 17695 mesh verts, 34549 tris
    plate[14]: 31797 samples, 45713 mesh verts, 74529 tris
    plate[15]: 20813 samples, 28834 mesh verts, 55981 tris
    plate[16]: 13201 samples, 21796 mesh verts, 37183 tris
    plate[17]: 8049 samples, 11307 mesh verts, 21928 tris
    plate[18]: 28397 samples, 34789 mesh verts, 67178 tris
    plate[19]: 21932 samples, 33975 mesh verts, 65569 tris
  crust: cont=220411 (42.9%) ocean=292909 below_sea=0 elev=[0.000,111.370] avg=10.344 andean=48797 himalayan=19216
  after assign_samples step=6: assigned=369585/500000 gap=130415 plates=20
    plate[0]: 15076 samples, 18325 mesh verts, 35524 tris
    plate[1]: 10005 samples, 12208 mesh verts, 23728 tris
    plate[2]: 9432 samples, 19126 mesh verts, 37243 tris
    plate[3]: 608 samples, 18526 mesh verts, 35874 tris
    plate[4]: 9625 samples, 12676 mesh verts, 24617 tris
    plate[5]: 26157 samples, 37897 mesh verts, 73812 tris
    plate[6]: 18855 samples, 20850 mesh verts, 40714 tris
    plate[7]: 14657 samples, 18977 mesh verts, 37045 tris
    plate[8]: 20049 samples, 23310 mesh verts, 45434 tris
    plate[9]: 21399 samples, 26795 mesh verts, 52461 tris
    plate[10]: 30866 samples, 33992 mesh verts, 66715 tris
    plate[11]: 28343 samples, 33429 mesh verts, 60422 tris
    plate[12]: 30342 samples, 39997 mesh verts, 78329 tris
    plate[13]: 16336 samples, 17695 mesh verts, 34549 tris
    plate[14]: 30818 samples, 45713 mesh verts, 74529 tris
    plate[15]: 19627 samples, 28834 mesh verts, 55981 tris
    plate[16]: 12144 samples, 21796 mesh verts, 37183 tris
    plate[17]: 7531 samples, 11307 mesh verts, 21928 tris
    plate[18]: 27461 samples, 37892 mesh verts, 67178 tris
    plate[19]: 20254 samples, 33975 mesh verts, 65569 tris
  crust: cont=223475 (43.5%) ocean=289845 below_sea=0 elev=[0.000,128.847] avg=12.255 andean=48978 himalayan=23017
  after assign_samples step=7: assigned=358953/500000 gap=141047 plates=20
    plate[0]: 14848 samples, 18343 mesh verts, 35542 tris
    plate[1]: 9963 samples, 12216 mesh verts, 23736 tris
    plate[2]: 9836 samples, 19130 mesh verts, 37247 tris
    plate[3]: 611 samples, 18526 mesh verts, 35874 tris
    plate[4]: 9749 samples, 12676 mesh verts, 24617 tris
    plate[5]: 24766 samples, 37897 mesh verts, 73812 tris
    plate[6]: 18681 samples, 20884 mesh verts, 40748 tris
    plate[7]: 14106 samples, 18981 mesh verts, 37049 tris
    plate[8]: 19724 samples, 23330 mesh verts, 45454 tris
    plate[9]: 21035 samples, 26871 mesh verts, 52537 tris
    plate[10]: 30583 samples, 33992 mesh verts, 66715 tris
    plate[11]: 28074 samples, 33431 mesh verts, 60424 tris
